,标题,学校,门类/专业,招生人数,发布时间,链接
0,佳木斯大学-计算机应用技术硕士点-招收调剂硕士生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-04-05 17:35,http://muchong.com/t-14176947-1
1,增额扩招：东北石油大学电子信息专业调剂（专硕，下设计算机技术、软件工程两个方向）,东北石油大学,工学 -> 计算机科学与技术  ,58,2020-04-05 17:11,http://muchong.com/t-14176918-1
2,增额扩招：东北石油大学计算机科学与技术专业学硕调剂,东北石油大学,工学 -> 计算机科学与技术  ,28,2020-04-05 16:48,http://muchong.com/t-14176893-1
3,西京学院接受调剂考生,西京学院,工学 -> 计算机科学与技术  ,50,2020-03-25 10:13,http://muchong.com/t-14157435-1
4,西北民族大学王老师招收硕士研究生,西北民大,工学 -> 计算机科学与技术  ,2,2020-03-22 00:14,http://muchong.com/t-14151613-1
5,福建农林大学计算机科学与技术专业招收考研调剂（学硕）,福建农林大学,工学 -> 计算机科学与技术  ,2,2020-03-18 16:44,http://muchong.com/t-14145699-1
6,澳门科技大学接收调剂研究生,澳门科技大学,工学 -> 计算机科学与技术  -> 计算机应用技术,60,2020-03-18 11:06,http://muchong.com/t-14145058-1
7,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-17 09:36,http://muchong.com/t-14142959-1
8,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-03-17 09:20,http://muchong.com/t-14142914-1
9,佳木斯大学计算机应用硕士点招收调剂研究生（工科学硕，过研究生初试A区国家线）,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-14 16:15,http://muchong.com/t-14138323-1
10,2020南昌航空大学数学与信息科学学院李波教授团队接收调剂研究生-增加名额2个,南昌航空大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-14 15:22,http://muchong.com/t-14138245-1
11,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-14 13:33,http://muchong.com/t-14138088-1
12,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-14 12:32,http://muchong.com/t-14137995-1
13,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-04 07:50,http://muchong.com/t-14115562-1
14,上海海事大学信息工程学院接收调剂研究生,上海海事,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-04 01:50,http://muchong.com/t-14115477-1
15,2020年华侨大学彭佳林副教授课题组接受一志愿和调剂硕士研究生,华侨大学,工学 -> 计算机科学与技术  ,2,2020-03-02 13:41,http://muchong.com/t-14111767-1
16,浙江科技学院万健课题组接收硕士研究生调剂,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-29 16:14,http://muchong.com/t-14107531-1
17,招调剂硕士生,,工学 -> 计算机科学与技术  ,1,2020-02-29 10:49,http://muchong.com/t-14106728-1
18,华侨大学计算机学院计算机视觉与模式识别实验室钟必能课题组研究生招生,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-28 23:06,http://muchong.com/t-14106041-1
19,广州大学“方滨兴院士实验班”2020年研究生招生调剂公告,广州大学,工学 -> 计算机科学与技术  ,0,2020-02-28 11:37,http://muchong.com/t-14104305-1
20,华东交通大学 图像处理与光计算团队,华东交通大学,工学 -> 计算机科学与技术  ,0,2020-02-27 10:33,http://muchong.com/t-14101198-1
21,无损检测与光电传感技术及应用国家工程实验室(南昌航空大学)2020年研究生调剂信息,南昌航空大学,工学 -> 计算机科学与技术  ,15,2020-02-26 11:23,http://muchong.com/t-14098392-1
22,暂停招生,山东农大,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-25 20:00,http://muchong.com/t-14096620-1
23,【学硕】福建农林大学计算机科学与技术专业杨长才课题组招收调剂生4名,福建农林大学,工学 -> 计算机科学与技术  ,4,2020-02-24 12:29,http://muchong.com/t-14091329-1
24,福建师范大学“网络空间安全（0839，工科）”和“应用数学”接收调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-02-24 09:23,http://muchong.com/t-14090382-1
25,图像/视频取证方向拟招收计算机/数学背景学生,西南科大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-02-24 02:35,http://muchong.com/t-14089881-1
26,东北石油大学计算机科学与技术专业接收调剂考生,东北石油大学,工学 -> 计算机科学与技术  ,20,2020-02-23 12:58,http://muchong.com/t-14087747-1
27,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-23 00:24,http://muchong.com/t-14086070-1
28,浙江科技学院智能信号处理与通信算法课题组招生简介,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-22 23:31,http://muchong.com/t-14085926-1
29,浙江科技学院智能信号处理与通信算法课题组招生简介,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-22 21:44,http://muchong.com/t-14085671-1
30,2020接受考研调剂，计算机,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-22 18:43,http://muchong.com/t-14085144-1
31,2020接受考研调剂，计算机,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-22 18:43,http://muchong.com/t-14085143-1
32,福建师范大学数信学院肖如良教授教授招收计算机专业调剂生（限学术型硕士）,福建师范大学,工学 -> 计算机科学与技术  ,2,2020-02-22 13:05,http://muchong.com/t-14084021-1
33,删帖,安徽农大,工学 -> 计算机科学与技术  ,3,2020-02-22 10:00,http://muchong.com/t-14083220-1
34,调剂硕士生,山东大学,工学 -> 计算机科学与技术  ,0,2020-02-22 09:09,http://muchong.com/t-14082926-1
35,合工大调剂,合肥工大,工学 -> 计算机科学与技术  ,5,2020-02-21 17:53,http://muchong.com/t-14081140-1
36,华侨大学王田教授课题组招收调剂研究生,华侨大学,工学 -> 计算机科学与技术  ,6,2020-02-21 11:58,http://muchong.com/t-14079589-1
37,杭州智能计算团队招收计算机方向学硕/专硕2~3人,杭州师范,工学 -> 计算机科学与技术  ,3,2020-02-21 10:36,http://muchong.com/t-14079174-1
38,上海工程技术大学材料工程学院接受调剂研究生,上海工程,工学 -> 计算机科学与技术  ,1,2020-02-20 21:45,http://muchong.com/t-14077658-1
39,上海工程技术大学材料工程学院接受调剂研究生,上海工程,工学 -> 计算机科学与技术  ,2,2020-02-20 21:45,http://muchong.com/t-14077656-1
40,济南大学智能计算与科学计算课题组拟接收计算机专业 (学术型) 硕士生调剂-预宣传,济南大学,工学 -> 计算机科学与技术  ,2,2020-02-20 19:03,http://muchong.com/t-14077175-1
41,华侨大学计算机科学与技术学院王成导师招收调剂生,华侨大学,工学 -> 计算机科学与技术  ,4,2020-02-20 17:17,http://muchong.com/t-14076833-1
42,2020燕山大学电气工程学院“智能信息处理”课题组接收研究生调剂！！！,燕山大学,工学 -> 计算机科学与技术  ,20,2020-02-20 11:44,http://muchong.com/t-14075461-1
43,[硕博招生] 澳门科技大学-新兴计算与通讯研究组-招计算机/通讯方向硕博学生,澳门科技大学,工学 -> 计算机科学与技术  ,15,2020-02-05 16:06,http://muchong.com/t-14053972-1
44,澳门科技大学「新兴计算与通讯研究组」招收区块链/无线网络/机器学习等方向硕博学生,澳门科技大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-05 15:15,http://muchong.com/t-14053910-1
45,2020年太原理工大学智能成像光学实验室招收应届考生及调剂生,太原理工,工学 -> 计算机科学与技术  -> 信号与信息处理,5,2020-01-05 22:19,http://muchong.com/t-13835045-1
46,石家庄铁道大学交通信息技术课题组招收非定向博士生,石家庄铁道大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2019-12-17 17:41,http://muchong.com/t-13805427-1
47,路易维尔大学计算机科学与工程博士全奖,,工学 -> 计算机科学与技术  ,2,2019-10-19 08:50,http://muchong.com/t-13702241-1
48,华南先进光电子研究院光学脑成像课题组招收光学及心理学相关调剂,华南师范大学,工学 -> 计算机科学与技术  -> 应用心理学,2,2019-03-06 15:29,http://muchong.com/t-13246082-1
49,安徽师大接收调剂研究生,安徽师大,工学 -> 计算机科学与技术  -> 计算机应用技术,10,2019-03-02 16:42,http://muchong.com/t-13234305-1
50,2019考验调剂，网络信息安全,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2019-02-18 19:23,http://muchong.com/t-13191076-1
51,福建师范大学计算机类学硕研究生调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2019-01-28 21:01,http://muchong.com/t-13156489-1
52,太原理工大学智能成像光学实验室招收一志愿及调剂生,太原理工,工学 -> 计算机科学与技术  ,20,2019-01-28 07:52,http://muchong.com/t-13155369-1
53,武汉轻工大学 数学与计算机学院 2019年研究生招生,武汉工大,工学 -> 计算机科学与技术  -> 计算机应用技术,70,2018-09-03 13:32,http://muchong.com/t-12581862-1
54,福建师范大学数学与信息学院肖如良教授教授招收调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2018-03-14 00:08,http://muchong.com/t-12153950-1
55,华侨大学计算机学院王田教授课题组招收调剂研究生,华侨大学,工学 -> 计算机科学与技术  ,6,2018-02-04 09:35,http://muchong.com/t-12027010-1
56,福建农林大学计算机科学与技术硕士研究生仍有调剂名额,福建农林大学,工学 -> 计算机科学与技术  ,20,2017-03-02 21:57,http://muchong.com/t-11115993-1
